URL	CANONICALTagsStatus	ResponseURL	CanonicalURLCheckFromPageSouce	CanonicalURLsStatus	AlternateStatus	AlternateURL	AlternateURLStatus
http://staging1.villaplus.com/destinations/villas-in-greek-islands/corfu	FOUND	https://www.villaplus.com/destinations/villas-in-greek-islands/corfu	http://staging1.villaplus.com/destinations/villas-in-greek-islands/corfu	FAIL	FOUND	http://m.villaplus.com/destinations/villas-in-greek-islands/corfu	FAIL
http://staging1.villaplus.com/destinations/villas-in-spain/villas-in-balearic-islands/majorca	FOUND	https://www.villaplus.com/destinations/villas-in-spain/villas-in-balearic-islands/majorca	http://staging1.villaplus.com/destinations/villas-in-spain/villas-in-balearic-islands/majorca	FAIL	FOUND	http://m.villaplus.com/destinations/villas-in-spain/villas-in-balearic-islands/majorca	FAIL
http://staging1.villaplus.com/destinations/villas-in-spain/villas-in-balearic-islands/menorca	FOUND	https://www.villaplus.com/destinations/villas-in-spain/villas-in-balearic-islands/menorca	http://staging1.villaplus.com/destinations/villas-in-spain/villas-in-balearic-islands/menorca	FAIL	FOUND	http://m.villaplus.com/destinations/villas-in-spain/villas-in-balearic-islands/menorca	FAIL
http://staging1.villaplus.com/destinations/villas-in-spain/villas-in-canary-islands/lanzarote	FOUND	https://www.villaplus.com/destinations/villas-in-spain/villas-in-canary-islands/lanzarote	http://staging1.villaplus.com/destinations/villas-in-spain/villas-in-canary-islands/lanzarote	FAIL	FOUND	http://m.villaplus.com/destinations/villas-in-spain/villas-in-canary-islands/lanzarote	FAIL
http://staging1.villaplus.com/destinations/villas-in-spain/villas-in-canary-islands/fuerteventura	FOUND	https://www.villaplus.com/destinations/villas-in-spain/villas-in-canary-islands/fuerteventura	http://staging1.villaplus.com/destinations/villas-in-spain/villas-in-canary-islands/fuerteventura	FAIL	FOUND	http://m.villaplus.com/destinations/villas-in-spain/villas-in-canary-islands/fuerteventura	FAIL
http://staging1.villaplus.com/destinations/villas-in-spain/villas-in-canary-islands/tenerife	FOUND	https://www.villaplus.com/destinations/villas-in-spain/villas-in-canary-islands/tenerife	http://staging1.villaplus.com/destinations/villas-in-spain/villas-in-canary-islands/tenerife	FAIL	FOUND	http://m.villaplus.com/destinations/villas-in-spain/villas-in-canary-islands/tenerife	FAIL
http://staging1.villaplus.com/destinations/villas-in-spain/villas-in-mainland-spain/costa-del-sol	FOUND	https://www.villaplus.com/destinations/villas-in-spain/villas-in-mainland-spain/costa-del-sol	http://staging1.villaplus.com/destinations/villas-in-spain/villas-in-mainland-spain/costa-del-sol	FAIL	FOUND	http://m.villaplus.com/destinations/villas-in-spain/villas-in-mainland-spain/costa-del-sol	FAIL
http://staging1.villaplus.com/destinations/villas-in-spain/villas-in-mainland-spain/costa-blanca	FOUND	https://www.villaplus.com/destinations/villas-in-spain/villas-in-mainland-spain/costa-blanca	http://staging1.villaplus.com/destinations/villas-in-spain/villas-in-mainland-spain/costa-blanca	FAIL	FOUND	http://m.villaplus.com/destinations/villas-in-spain/villas-in-mainland-spain/costa-blanca	FAIL
http://staging1.villaplus.com/destinations/villas-in-greek-islands/corfu	FOUND	https://www.villaplus.com/destinations/villas-in-greek-islands/corfu	http://staging1.villaplus.com/destinations/villas-in-greek-islands/corfu	FAIL	FOUND	http://m.villaplus.com/destinations/villas-in-greek-islands/corfu	FAIL
http://staging1.villaplus.com/destinations/villas-in-greek-islands/kefalonia	FOUND	https://www.villaplus.com/destinations/villas-in-greek-islands/kefalonia	http://staging1.villaplus.com/destinations/villas-in-greek-islands/kefalonia	FAIL	FOUND	http://m.villaplus.com/destinations/villas-in-greek-islands/kefalonia	FAIL
http://staging1.villaplus.com/destinations/villas-in-greek-islands/crete	FOUND	https://www.villaplus.com/destinations/villas-in-greek-islands/crete	http://staging1.villaplus.com/destinations/villas-in-greek-islands/crete	FAIL	FOUND	http://m.villaplus.com/destinations/villas-in-greek-islands/crete	FAIL
http://staging1.villaplus.com/destinations/villas-in-greek-islands/rhodes	FOUND	https://www.villaplus.com/destinations/villas-in-greek-islands/rhodes	http://staging1.villaplus.com/destinations/villas-in-greek-islands/rhodes	FAIL	FOUND	http://m.villaplus.com/destinations/villas-in-greek-islands/rhodes	FAIL
http://staging1.villaplus.com/destinations/cyprus	FOUND	https://www.villaplus.com/destinations/cyprus	http://staging1.villaplus.com/destinations/cyprus	FAIL	FOUND	http://m.villaplus.com/destinations/cyprus	FAIL
http://staging1.villaplus.com/destinations/villas-in-spain/villas-in-balearic-islands/menorca	FOUND	https://www.villaplus.com/destinations/villas-in-spain/villas-in-balearic-islands/menorca	http://staging1.villaplus.com/destinations/villas-in-spain/villas-in-balearic-islands/menorca	FAIL	FOUND	http://m.villaplus.com/destinations/villas-in-spain/villas-in-balearic-islands/menorca	FAIL
http://staging1.villaplus.com/menorca/shopping	FOUND	https://www.villaplus.com/menorca/shopping	http://staging1.villaplus.com/menorca/shopping	FAIL	NOT FOUND		FAIL
http://staging1.villaplus.com/destinations/villas-in-spain/villas-in-balearic-islands/menorca/restaurants	FOUND	https://www.villaplus.com/destinations/villas-in-spain/villas-in-balearic-islands/menorca/restaurants	http://staging1.villaplus.com/destinations/villas-in-spain/villas-in-balearic-islands/menorca/restaurants	FAIL	NOT FOUND		FAIL
http://staging1.villaplus.com/destinations/villas-in-spain/villas-in-balearic-islands/menorca/sports	FOUND	https://www.villaplus.com/destinations/villas-in-spain/villas-in-balearic-islands/menorca/sports	http://staging1.villaplus.com/destinations/villas-in-spain/villas-in-balearic-islands/menorca/sports	FAIL	NOT FOUND		FAIL
http://staging1.villaplus.com/destinations/villas-in-spain/villas-in-balearic-islands/menorca/golf	FOUND	https://www.villaplus.com/destinations/villas-in-spain/villas-in-balearic-islands/menorca/golf	http://staging1.villaplus.com/destinations/villas-in-spain/villas-in-balearic-islands/menorca/golf	FAIL	NOT FOUND		FAIL
http://staging1.villaplus.com/destinations/cyprus#resorts	FOUND	https://www.villaplus.com/destinations/cyprus	http://staging1.villaplus.com/destinations/cyprus#resorts	FAIL	FOUND	http://m.villaplus.com/destinations/cyprus#resorts	FAIL
http://staging1.villaplus.com/destinations/cyprus/private-transfers	FOUND	https://www.villaplus.com/destinations/cyprus/private-transfers	http://staging1.villaplus.com/destinations/cyprus/private-transfers	FAIL	FOUND	http://m.villaplus.com/destinations/cyprus/private-transfers	FAIL
http://staging1.villaplus.com/cyprus/flights	FOUND	https://www.villaplus.com	http://staging1.villaplus.com/	FAIL	FOUND	http://m.villaplus.com/	FAIL
http://staging1.villaplus.com/destinations/villas-in-spain/villas-in-balearic-islands/majorca	FOUND	https://www.villaplus.com/destinations/villas-in-spain/villas-in-balearic-islands/majorca	http://staging1.villaplus.com/destinations/villas-in-spain/villas-in-balearic-islands/majorca	FAIL	FOUND	http://m.villaplus.com/destinations/villas-in-spain/villas-in-balearic-islands/majorca	FAIL
http://staging1.villaplus.com/destinations/villas-in-spain/villas-in-balearic-islands/majorca/car-hire	FOUND	https://www.villaplus.com/destinations/villas-in-spain/villas-in-balearic-islands/majorca/car-hire	http://staging1.villaplus.com/destinations/villas-in-spain/villas-in-balearic-islands/majorca/car-hire	FAIL	FOUND	http://m.villaplus.com/destinations/villas-in-spain/villas-in-balearic-islands/majorca/car-hire	FAIL
http://staging1.villaplus.com/	FOUND	https://www.villaplus.com	http://staging1.villaplus.com/	FAIL	FOUND	http://m.villaplus.com/	FAIL
http://staging1.villaplus.com/destinations/villas-in-spain/villas-in-canary-islands/fuerteventura	FOUND	https://www.villaplus.com/destinations/villas-in-spain/villas-in-canary-islands/fuerteventura	http://staging1.villaplus.com/destinations/villas-in-spain/villas-in-canary-islands/fuerteventura	FAIL	FOUND	http://m.villaplus.com/destinations/villas-in-spain/villas-in-canary-islands/fuerteventura	FAIL
http://staging1.villaplus.com/destinations/villas-in-spain/villas-in-canary-islands/fuerteventura/private-transfers	FOUND	https://www.villaplus.com/destinations/villas-in-spain/villas-in-canary-islands/fuerteventura/private-transfers	http://staging1.villaplus.com/destinations/villas-in-spain/villas-in-canary-islands/fuerteventura/private-transfers	FAIL	FOUND	http://m.villaplus.com/destinations/villas-in-spain/villas-in-canary-islands/fuerteventura/private-transfers	FAIL
http://staging1.villaplus.com/fuerteventura/flights	FOUND	https://www.villaplus.com	http://staging1.villaplus.com/	FAIL	FOUND	http://m.villaplus.com/	FAIL
http://staging1.villaplus.com/destinations/villas-in-spain/villas-in-balearic-islands/majorca/private-transfers	FOUND	https://www.villaplus.com/destinations/villas-in-spain/villas-in-balearic-islands/majorca/private-transfers	http://staging1.villaplus.com/destinations/villas-in-spain/villas-in-balearic-islands/majorca/private-transfers	FAIL	FOUND	http://m.villaplus.com/destinations/villas-in-spain/villas-in-balearic-islands/majorca/private-transfers	FAIL
http://staging1.villaplus.com/majorca/flights	FOUND	https://www.villaplus.com	http://staging1.villaplus.com/	FAIL	FOUND	http://m.villaplus.com/	FAIL
http://staging1.villaplus.com/corfu/places-of-interest	FOUND	https://www.villaplus.com/corfu/places-of-interest	http://staging1.villaplus.com/corfu/places-of-interest	FAIL	NOT FOUND		FAIL
http://staging1.villaplus.com/destinations/villas-in-spain/villas-in-canary-islands/lanzarote#resorts	FOUND	https://www.villaplus.com/destinations/villas-in-spain/villas-in-canary-islands/lanzarote	http://staging1.villaplus.com/destinations/villas-in-spain/villas-in-canary-islands/lanzarote#resorts	FAIL	FOUND	http://m.villaplus.com/destinations/villas-in-spain/villas-in-canary-islands/lanzarote#resorts	FAIL
http://staging1.villaplus.com/destinations/villas-in-spain/villas-in-canary-islands/lanzarote/private-transfers	FOUND	https://www.villaplus.com/destinations/villas-in-spain/villas-in-canary-islands/lanzarote/private-transfers	http://staging1.villaplus.com/destinations/villas-in-spain/villas-in-canary-islands/lanzarote/private-transfers	FAIL	FOUND	http://m.villaplus.com/destinations/villas-in-spain/villas-in-canary-islands/lanzarote/private-transfers	FAIL
http://staging1.villaplus.com/lanzarote/flights	FOUND	https://www.villaplus.com	http://staging1.villaplus.com/	FAIL	FOUND	http://m.villaplus.com/	FAIL
